CMDLINE /usr/bin/python3 detect_video.py
MEM 712.714844 1628090749.4139
MEM 712.714844 1628090749.5148
MEM 712.714844 1628090749.6156
MEM 712.714844 1628090749.7164
MEM 712.714844 1628090749.8173
MEM 712.714844 1628090749.9181
MEM 712.964844 1628090750.0189
MEM 712.964844 1628090750.1198
MEM 712.964844 1628090750.2206
MEM 712.964844 1628090750.3214
MEM 712.964844 1628090750.4222
MEM 712.964844 1628090750.5230
MEM 712.964844 1628090750.6240
MEM 712.964844 1628090750.7248
MEM 712.964844 1628090750.8256
MEM 712.964844 1628090750.9265
MEM 712.964844 1628090751.0273
MEM 712.964844 1628090751.1282
MEM 712.964844 1628090751.2291
MEM 712.964844 1628090751.3300
MEM 712.964844 1628090751.4308
MEM 713.214844 1628090751.5317
MEM 713.214844 1628090751.6326
MEM 713.214844 1628090751.7335
MEM 713.214844 1628090751.8344
MEM 713.214844 1628090751.9352
MEM 713.214844 1628090752.0360
MEM 713.214844 1628090752.1368
MEM 713.214844 1628090752.2378
MEM 713.214844 1628090752.3385
MEM 713.214844 1628090752.4393
MEM 713.406250 1628090752.5401
MEM 713.406250 1628090752.6411
MEM 713.406250 1628090752.7420
MEM 713.406250 1628090752.8430
MEM 713.406250 1628090752.9438
MEM 713.406250 1628090753.0446
MEM 713.406250 1628090753.1455
MEM 713.406250 1628090753.2464
MEM 713.406250 1628090753.3473
MEM 713.406250 1628090753.4482
MEM 713.406250 1628090753.5491
MEM 713.406250 1628090753.6501
MEM 713.406250 1628090753.7508
MEM 713.406250 1628090753.8516
MEM 713.406250 1628090753.9525
MEM 713.406250 1628090754.0534
MEM 713.406250 1628090754.1543
MEM 713.406250 1628090754.2551
MEM 713.406250 1628090754.3559
MEM 713.406250 1628090754.4568
MEM 713.406250 1628090754.5577
MEM 713.406250 1628090754.6585
MEM 713.585938 1628090754.7594
MEM 713.585938 1628090754.8602
MEM 713.585938 1628090754.9611
MEM 713.585938 1628090755.0619
MEM 713.714844 1628090755.1627
MEM 713.714844 1628090755.2636
MEM 713.714844 1628090755.3644
MEM 713.714844 1628090755.4653
MEM 713.714844 1628090755.5661
MEM 713.714844 1628090755.6669
MEM 713.714844 1628090755.7678
MEM 713.714844 1628090755.8687
MEM 713.714844 1628090755.9696
MEM 713.714844 1628090756.0704
MEM 713.714844 1628090756.1712
MEM 713.714844 1628090756.2722
MEM 713.714844 1628090756.3732
MEM 713.714844 1628090756.4741
MEM 713.714844 1628090756.5749
MEM 713.714844 1628090756.6758
MEM 713.902344 1628090756.7768
MEM 713.902344 1628090756.8780
MEM 713.902344 1628090756.9788
MEM 713.902344 1628090757.0795
MEM 713.902344 1628090757.1803
MEM 713.902344 1628090757.2813
MEM 713.902344 1628090757.3821
MEM 713.902344 1628090757.4830
MEM 713.902344 1628090757.5837
MEM 713.902344 1628090757.6846
MEM 713.902344 1628090757.7855
MEM 713.902344 1628090757.8864
MEM 713.902344 1628090757.9873
MEM 713.902344 1628090758.0880
MEM 713.902344 1628090758.1888
MEM 713.902344 1628090758.2897
MEM 713.902344 1628090758.3905
MEM 713.902344 1628090758.4914
MEM 713.902344 1628090758.5922
MEM 713.902344 1628090758.6931
MEM 713.902344 1628090758.7940
MEM 713.902344 1628090758.8948
MEM 713.902344 1628090758.9955
MEM 713.902344 1628090759.0961
MEM 713.902344 1628090759.1971
MEM 713.902344 1628090759.2979
MEM 713.902344 1628090759.3988
MEM 713.902344 1628090759.4996
MEM 713.902344 1628090759.6004
MEM 713.902344 1628090759.7013
MEM 713.902344 1628090759.8022
MEM 713.902344 1628090759.9030
MEM 713.902344 1628090760.0038
MEM 713.902344 1628090760.1046
MEM 713.902344 1628090760.2055
MEM 713.902344 1628090760.3063
MEM 713.902344 1628090760.4072
MEM 713.902344 1628090760.5080
MEM 713.902344 1628090760.6088
MEM 713.902344 1628090760.7098
MEM 713.902344 1628090760.8106
MEM 713.902344 1628090760.9116
MEM 713.902344 1628090761.0125
MEM 713.902344 1628090761.1133
MEM 713.902344 1628090761.2141
MEM 713.902344 1628090761.3150
MEM 713.902344 1628090761.4158
MEM 713.902344 1628090761.5166
MEM 713.902344 1628090761.6176
MEM 713.902344 1628090761.7184
MEM 713.902344 1628090761.8196
MEM 713.902344 1628090761.9204
MEM 713.902344 1628090762.0212
MEM 713.902344 1628090762.1220
MEM 713.902344 1628090762.2229
MEM 713.902344 1628090762.3237
MEM 713.902344 1628090762.4246
MEM 713.902344 1628090762.5256
MEM 713.902344 1628090762.6265
MEM 713.902344 1628090762.7273
MEM 713.902344 1628090762.8282
MEM 713.902344 1628090762.9290
MEM 713.902344 1628090763.0296
MEM 713.902344 1628090763.1304
MEM 713.902344 1628090763.2312
MEM 713.902344 1628090763.3321
MEM 713.902344 1628090763.4328
MEM 713.902344 1628090763.5338
MEM 713.902344 1628090763.6346
MEM 713.902344 1628090763.7354
MEM 713.902344 1628090763.8362
MEM 715.515625 1628090763.9371
MEM 716.382812 1628090764.0380
MEM 716.382812 1628090764.1389
MEM 716.382812 1628090764.2398
MEM 716.382812 1628090764.3407
MEM 716.382812 1628090764.4417
MEM 693.875000 1628090764.5427
MEM 418.496094 1628090764.6436
MEM 418.496094 1628090764.7445
MEM 418.496094 1628090764.8454
MEM 418.246094 1628090764.9463
MEM 0.000000 1628090765.0473
